chromosome	start	end	summit
chr1	33150	33409	33276
chr1	35520	35729	35626
chr1	37930	38129	37996
chr1	38330	38759	38446
chr1	44280	45269	44566
chr1	61500	62329	62046
chr1	69790	70419	70246
chr1	71340	71699	71636
chr1	72220	74559	73226
chr1	78520	80059	79126
chr1	84840	86079	85506
chr1	86280	86659	86366
chr1	94900	95099	95026
chr1	199480	199779	199566
chr1	243830	244249	244156
chr1	294220	294489	294366
chr1	325770	326389	326026
chr1	364110	365239	364596
chr1	463900	463979	463956
chr1	473340	473759	473576
chr1	562290	562989	562686
chr1	649630	650169	649906
chr1	714240	715159	714766
chr1	764620	765669	765296
chr1	876030	876399	876196
chr1	901840	902609	902236
chr1	964770	965309	965206
chr1	1026400	1027719	1026986
chr1	1078820	1079749	1079496
chr1	1083350	1083929	1083796
chr1	1090060	1090139	1090136
chr1	1095740	1096349	1095916
chr1	1150220	1150379	1150326
chr1	1190700	1191009	1190916
chr1	1195720	1196589	1196186
chr1	1254480	1255269	1255056
chr1	1274620	1274999	1274866
chr1	1443200	1444189	1443646
chr1	1476310	1476699	1476526
chr1	1508660	1509499	1509116
chr1	1573030	1573699	1573356
chr1	1574590	1575019	1574906
chr1	1599130	1599259	1599216
chr1	1664240	1665299	1664426
chr1	1707670	1708329	1707906
chr1	1733950	1734539	1734266
chr1	1827320	1827479	1827476
chr1	1833770	1834549	1834206
chr1	1893880	1894969	1894266
chr1	1953450	1953859	1953656
chr1	1974710	1974939	1974846
chr1	2041740	2042009	2041856
chr1	2095980	2096069	2095986
chr1	2139250	2139639	2139486
chr1	2194020	2194309	2194026
chr1	2227480	2228029	2227836
chr1	2249410	2249889	2249616
chr1	2279860	2280279	2280086
chr1	2304190	2304329	2304286
chr1	2335980	2336169	2335986
chr1	2339340	2339709	2339376
chr1	2398240	2399159	2398726
chr1	2405270	2405839	2405666
chr1	2438600	2438789	2438696
chr1	2441600	2441839	2441776
chr1	2442190	2442289	2442286
chr1	2489230	2489689	2489406
chr1	2525150	2525579	2525326
chr1	2577850	2578489	2578156
chr1	2642410	2643329	2642896
chr1	2662700	2663629	2663306
chr1	2718860	2720019	2719416
chr1	2760890	2761879	2761526
chr1	2802900	2803739	2803416
chr1	2882520	2882999	2882766
chr1	2959640	2960189	2959926
chr1	3009930	3010049	3009936
chr1	3021930	3022259	3022106
chr1	3059390	3060369	3059916
chr1	3158120	3158579	3158336
chr1	3183460	3184859	3184446
chr1	3245930	3246219	3245936
chr1	3269670	3269839	3269836
chr1	3320220	3321379	3320886
chr1	3404150	3405269	3404946
chr1	3410080	3410809	3410226
chr1	3443380	3443639	3443536
chr1	3497590	3498449	3497926
chr1	3548520	3548669	3548606
chr1	3576090	3577199	3576616
chr1	3634360	3635169	3634786
chr1	3699980	3700549	3700356
chr1	3735930	3736489	3736236
chr1	3839970	3840679	3840476
chr1	3852170	3852699	3852386
chr1	3876210	3876429	3876336
chr1	3877740	3878589	3877976
chr1	3897580	3897959	3897646
chr1	3952410	3953319	3952646
chr1	3991540	3992129	3991646
chr1	3994920	3995329	3995276
chr1	4018550	4019609	4018866
chr1	4071220	4071959	4071516
chr1	4087570	4088529	4088136
chr1	4184480	4184899	4184896
chr1	4253690	4254359	4254036
chr1	4274400	4275199	4274986
chr1	4325890	4326379	4325896
chr1	4414230	4415169	4414556
chr1	4438460	4439019	4438726
chr1	4453230	4453349	4453346
chr1	4483500	4483739	4483656
chr1	4532860	4533389	4533176
chr1	4603710	4604829	4604586
chr1	4652000	4652839	4652636
chr1	4706240	4706859	4706626
chr1	4739190	4739699	4739526
chr1	4778190	4778869	4778816
chr1	4852290	4852759	4852556
chr1	4916190	4916669	4916396
chr1	4962840	4963799	4963226
chr1	5024120	5024789	5024616
chr1	5045210	5045699	5045396
chr1	5096040	5096979	5096646
chr1	5155250	5155839	5155646
chr1	5177620	5177709	5177676
chr1	5233680	5233859	5233796
chr1	5253150	5253219	5253156
chr1	5271260	5271789	5271566
chr1	5321820	5321929	5321836
chr1	5392470	5393299	5393066
chr1	5447620	5448499	5448056
chr1	5475730	5476169	5475866
chr1	5497720	5498179	5497936
chr1	5500710	5502049	5501266
chr1	5503830	5504089	5503906
chr1	5514990	5515659	5515516
chr1	5520450	5521259	5520986
chr1	5524260	5524849	5524546
chr1	5526040	5526769	5526226
chr1	5528740	5530259	5529396
chr1	5530970	5533109	5532706
chr1	5536350	5537739	5537176
chr1	5539760	5540189	5539926
chr1	5542840	5545829	5544966
chr1	5546050	5546129	5546086
chr1	5546350	5549049	5547226
chr1	5550080	5553089	5550536
chr2	42010	42669	42156
chr2	42960	44999	44476
chr2	51940	53189	52926
chr2	66170	66999	66896
chr2	74200	74719	74366
chr2	89390	90649	89526
chr2	110150	110949	110336
chr2	140780	141079	141036
chr2	150980	151189	151146
chr2	200940	201399	201186
chr2	203550	203939	203876
chr2	257990	258739	258286
chr2	277520	277809	277696
chr2	314690	315299	315126
chr2	325440	326279	325956
chr2	331650	332529	332256
chr2	453440	453919	453536
chr2	519470	520309	519826
chr2	569370	570189	569806
chr2	602760	603519	602926
chr2	636690	637019	636696
chr2	673610	673889	673856
chr2	744850	746129	745476
chr2	803320	803869	803756
chr2	823260	823959	823596
chr2	891530	891899	891656
chr2	948000	949169	948666
chr2	956800	957479	957136
chr2	1079540	1079729	1079706
chr2	1104960	1105939	1105406
chr2	1141220	1142069	1141716
chr2	1155860	1156289	1155966
chr2	1244150	1244299	1244206
